strategy,x,y,mean_visits
pheromone,0,6,3.566666666666667
pheromone,0,7,2.7333333333333334
pheromone,0,8,3.6333333333333333
pheromone,0,9,4.733333333333333
pheromone,0,10,4.866666666666666
pheromone,0,11,2.2666666666666666
pheromone,0,12,1.4333333333333333
pheromone,0,13,1.3
pheromone,0,14,1.2333333333333334
pheromone,0,15,6.633333333333334
pheromone,0,16,0.26666666666666666
pheromone,0,17,0.5
pheromone,0,18,0.5666666666666667
pheromone,0,19,0.43333333333333335
pheromone,1,0,9.566666666666666
pheromone,1,1,8.333333333333334
pheromone,1,2,11.266666666666667
pheromone,1,3,10.333333333333334
pheromone,1,4,5.666666666666667
pheromone,1,5,5.366666666666666
pheromone,1,6,4.1
pheromone,1,7,3.533333333333333
pheromone,1,8,3.8
pheromone,1,9,3.4
pheromone,1,10,4.3
pheromone,1,11,2.2333333333333334
pheromone,1,12,2.466666666666667
pheromone,1,13,1.7666666666666666
pheromone,1,14,0.9333333333333333
pheromone,1,15,6.533333333333333
pheromone,1,16,0.6
pheromone,1,17,0.6666666666666666
pheromone,1,18,0.5
pheromone,1,19,0.5666666666666667
pheromone,2,0,7.666666666666667
pheromone,2,1,8.2
pheromone,2,2,7.166666666666667
pheromone,2,3,6.633333333333334
pheromone,2,4,3.9
pheromone,2,5,4.266666666666667
pheromone,2,6,3.966666666666667
pheromone,2,7,3.8
pheromone,2,8,2.8
pheromone,2,9,3.0
pheromone,2,10,3.8666666666666667
pheromone,2,11,1.5666666666666667
pheromone,2,12,1.4333333333333333
pheromone,2,13,0.9666666666666667
pheromone,2,14,0.6
pheromone,2,15,0.3
pheromone,2,16,0.5666666666666667
pheromone,2,17,0.4666666666666667
pheromone,2,18,0.5
pheromone,2,19,0.5333333333333333
pheromone,3,0,7.233333333333333
pheromone,3,1,5.733333333333333
pheromone,3,2,6.533333333333333
pheromone,3,3,5.633333333333334
pheromone,3,4,4.3
pheromone,3,5,5.7
pheromone,3,6,4.233333333333333
pheromone,3,7,3.533333333333333
pheromone,3,8,2.566666666666667
pheromone,3,9,1.9333333333333333
pheromone,3,10,2.7333333333333334
pheromone,3,11,1.9666666666666666
pheromone,3,12,1.5
pheromone,3,13,0.6
pheromone,3,14,0.5666666666666667
pheromone,3,15,0.4
pheromone,3,16,0.5666666666666667
pheromone,3,17,0.36666666666666664
pheromone,3,18,0.5
pheromone,3,19,0.4
pheromone,4,0,6.366666666666666
pheromone,4,1,5.7
pheromone,4,2,6.233333333333333
pheromone,4,3,6.533333333333333
pheromone,4,4,5.066666666666666
pheromone,4,5,4.133333333333334
pheromone,4,6,2.7
pheromone,4,7,2.2
pheromone,4,8,1.7666666666666666
pheromone,4,9,2.466666666666667
pheromone,4,10,2.7666666666666666
pheromone,4,11,1.4
pheromone,4,12,1.2333333333333334
pheromone,4,13,0.3
pheromone,4,14,0.4666666666666667
pheromone,4,15,0.1
pheromone,4,16,0.26666666666666666
pheromone,4,17,0.26666666666666666
pheromone,4,18,0.43333333333333335
pheromone,4,19,0.26666666666666666
pheromone,5,0,4.333333333333333
pheromone,5,1,7.066666666666666
pheromone,5,2,6.666666666666667
pheromone,5,3,5.233333333333333
pheromone,5,4,3.7333333333333334
pheromone,5,5,3.1333333333333333
pheromone,5,6,3.1333333333333333
pheromone,5,7,2.533333333333333
pheromone,5,8,2.0
pheromone,5,9,2.466666666666667
pheromone,5,10,1.3666666666666667
pheromone,5,11,0.13333333333333333
pheromone,5,12,0.23333333333333334
pheromone,5,13,0.3333333333333333
pheromone,5,14,0.4
pheromone,5,15,0.0
pheromone,5,16,0.2
pheromone,5,17,0.23333333333333334
pheromone,5,18,0.4666666666666667
pheromone,5,19,0.43333333333333335
pheromone,6,0,4.3
pheromone,6,1,6.466666666666667
pheromone,6,2,5.866666666666666
pheromone,6,3,4.866666666666666
pheromone,6,4,3.966666666666667
pheromone,6,5,3.0
pheromone,6,6,2.433333333333333
pheromone,6,7,0.8
pheromone,6,8,1.7
pheromone,6,9,1.3666666666666667
pheromone,6,10,0.7333333333333333
pheromone,6,11,0.2
pheromone,6,12,0.2
pheromone,6,13,0.4666666666666667
pheromone,6,14,0.36666666666666664
pheromone,6,15,0.03333333333333333
pheromone,6,16,0.2
pheromone,6,17,0.16666666666666666
pheromone,6,18,0.3
pheromone,6,19,0.4666666666666667
pheromone,7,0,5.333333333333333
pheromone,7,1,6.566666666666666
pheromone,7,2,4.8
pheromone,7,3,3.1
pheromone,7,4,2.3666666666666667
pheromone,7,5,2.533333333333333
pheromone,7,6,2.5
pheromone,7,7,1.1333333333333333
pheromone,7,8,2.4
pheromone,7,9,1.6333333333333333
pheromone,7,10,1.5666666666666667
pheromone,7,11,1.0333333333333334
pheromone,7,12,0.23333333333333334
pheromone,7,13,0.3
pheromone,7,14,0.03333333333333333
pheromone,7,15,0.03333333333333333
pheromone,7,16,0.16666666666666666
pheromone,7,17,0.23333333333333334
pheromone,7,18,0.06666666666666667
pheromone,7,19,0.3
pheromone,8,0,4.333333333333333
pheromone,8,1,4.333333333333333
pheromone,8,2,4.833333333333333
pheromone,8,3,4.4
pheromone,8,4,3.5
pheromone,8,5,3.033333333333333
pheromone,8,6,1.7
pheromone,8,7,1.8666666666666667
pheromone,8,8,2.3333333333333335
pheromone,8,9,0.9333333333333333
pheromone,8,10,0.1
pheromone,8,11,0.2
pheromone,8,12,0.0
pheromone,8,13,0.2
pheromone,8,14,0.2
pheromone,8,15,0.03333333333333333
pheromone,8,16,0.06666666666666667
pheromone,8,17,0.23333333333333334
pheromone,8,18,0.23333333333333334
pheromone,8,19,0.43333333333333335
pheromone,9,0,5.366666666666666
pheromone,9,1,4.866666666666666
pheromone,9,2,4.1
pheromone,9,3,3.8
pheromone,9,4,2.566666666666667
pheromone,9,5,2.6
pheromone,9,6,1.3
pheromone,9,7,1.4666666666666666
pheromone,9,8,0.6333333333333333
pheromone,9,9,0.26666666666666666
pheromone,9,10,0.03333333333333333
pheromone,9,11,0.0
pheromone,9,12,0.06666666666666667
pheromone,9,13,0.0
pheromone,9,14,0.16666666666666666
pheromone,9,15,0.03333333333333333
pheromone,9,16,0.16666666666666666
pheromone,9,17,0.23333333333333334
pheromone,9,18,0.3
pheromone,9,19,0.3
pheromone,10,0,4.066666666666666
pheromone,10,1,3.933333333333333
pheromone,10,2,2.8666666666666667
pheromone,10,3,2.7333333333333334
pheromone,10,4,3.2
pheromone,10,5,2.6666666666666665
pheromone,10,6,1.1333333333333333
pheromone,10,7,1.3333333333333333
pheromone,10,8,0.7333333333333333
