strategy,swarm_size,hazard_rate,noise_level,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
pheromone,6,medium,0.2,16,2,6,7.941176470588235,34,17
pheromone,6,medium,0.2,17,5,6,24.705882352941178,180,126
pheromone,6,medium,0.2,18,4,6,40.294117647058826,85,54
pheromone,6,medium,0.2,19,5,6,20.88235294117647,38,47
pheromone,6,medium,0.2,20,3,6,22.647058823529413,69,31
pheromone,6,medium,0.2,21,2,6,21.764705882352942,54,32
pheromone,6,medium,0.2,22,3,6,9.705882352941178,42,22
pheromone,6,medium,0.2,23,3,6,22.941176470588236,222,112
pheromone,6,medium,0.2,24,4,6,30.294117647058822,147,81
pheromone,6,medium,0.2,25,6,6,40.588235294117645,220,134
pheromone,6,medium,0.2,26,4,6,22.647058823529413,46,50
pheromone,6,medium,0.2,27,3,6,12.941176470588237,44,36
pheromone,6,medium,0.2,28,8,6,47.94117647058824,174,115
pheromone,6,medium,0.2,29,3,6,10.588235294117647,50,26
